"Organização";"Nome";"Descrição";"Tags";"Quantidade Recursos";"Quantidade Reusos";"Quantidade Downloads"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Compras.gov.br Contratos";"O [Compras.gov.br Contratos](https://www.gov.br/compras/pt-br/sistemas/comprasnet-contratos) é a plataforma para gestão de contratações públicas que é disponibilizada pelo governo federal e pode ser utilizada por órgãos e entidades da **administração pública federal** direta, autárquica e fundacional, bem como as empresas estatais; e demais órgãos e entidades de **outros poderes** ou das **esferas estadual e municipal**.

Apresentamos os **valores e saldos de empenhos emitidos no SIAFI** e originados do sistema Contratos.gov.br. 

Após a análise das informações e a revisão da metodologia, constatamos que **nem todos os empenhos disponibilizados estão vinculados aos seus respectivos contratos**. Isso ocorre porque a vinculação depende da **ação manual dos responsáveis pela gestão contratual** do órgão contratante.

Informamos que estão sendo adotadas medidas para **garantir e aprimorar maior precisão das informações orçamentárias** vinculadas às compras e aos contratos.

Este conjunto de dados contém arquivos **CSVs** extraídos do Compras Contratos. A organização dos arquivos disponibilizados possibilita o download de todos os dados de forma **massiva** a partir dos arquivos anuais. Complementarmente também são disponibilizados arquivos **mensais** e **diários** contendo apenas os registros novos ou alterados. Estão disponíveis dados das seguintes tabelas:

* Contratos
* Empenhos
* Contratos_Empenhos
* Históricos
* Cronogramas
* Garantias
* Itens
* Prepostos
* Responsáveis
* Despesas Acessórias
* Faturas
* Terceirizados

Os arquivos possuem registros a partir de Janeiro de 2021, que foi quando o Compras Contratos entrou em operação.

Também é possível navegar pelos arquivos acessando diretamente o repositório em [https://repositorio.dados.gov.br/seges/comprasnet_contratos/](https://repositorio.dados.gov.br/seges/comprasnet_contratos/).

## Histórico de Alterações

**Maio/2024**

Foi incluída a tabela de relacionamento Contratos_Empenhos.

Houve também atualização do dicionário de dados.

**Outubro/2022**

Foi alterado o layout da tabela de **empenhos**, inserindo as colunas:

* unidade
* unidade_nome
* gestao
* data_emissao
* informacao_complementar
* sistema_origem

E alteradas as colunas:

* credor -> cpf_cnpj_credor e cpf_cnpj_credor
* naturezadespesa -> naturezadespesa e naturezadespesa_descricao
* planointerno -> planointerno e planointerno_descricao
* empenhado -> valor_empenhado
* aliquidar -> valor_aliquidar
* liquidado -> valor_liquidado
* pago -> valor_pago
* rpinscrito -> valor_rpinscrito
* rpaliquidar -> valor_rpaliquidar
* rpliquidado -> valor_rpaliquidado
* rppago -> valor_rppago

Além disso, agora também são retornados os empenhos que não possuem nenhum contrato associado.";"Compras Públicas,compras,compras governamentais,comprasnet";"40";"0";"2069"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Concurso Nacional de Dados Abertos";"O objetivo do concurso foi estimular o desenvolvimento de ferramentas e visualizações baseadas em dados abertos, inclusive as que utilizem como fonte mais de uma base. 

O concurso premiou soluções em duas modalidades:

* desenvolvimento de soluções de software interativo, disponíveis na web, que permitam acesso via navegador, inclusive de dispositivos móveis;
* desenvolvimento de infográficos baseadas na utilização de dados abertos, disponíveis na web, que permitam acesso via navegador, inclusive de dispositivos móveis.

A cerimônia de premiação do concurso ocorreu durante o [II Encontro Nacional de Dados Abertos](http://wiki.dados.gov.br/II-Encontro-Nacional-de-Dados-Abertos.ashx), em 21/11/2013.

## Notícias

* [Inscrições abertas para o Concurso Nacional de Dados Abertos](https://www.brasil.gov.br/ciencia-e-tecnologia/2013/11/inscricoes-abertas-para-o-concurso-nacional-de-dados-abertos) (Portal Brasil)
* [Concurso Nacional de Dados Abertos : interessados já podem se inscrever](/noticia/concurso-nacional-de-dados-abertos-interessados-ja-podem-se-inscrever)
* [Dados abertos: inscrições para concurso terminam neste domingo](/noticia/dados-abertos-inscricoes-para-concurso-terminam-neste-domingo)
* [Conheça os vencedores do Concurso Nacional de Dados Abertos](/noticia/conheca-os-vencedores-do-concurso-nacional-de-dados-abertos)

## Soluções vencedoras

### [Brasil Mapeado](/aplicativo/brasil-mapeado)

O Brasil Mapeado mostra ao cidadão, em um mapa, quais os locais de atendimento de serviços de interesse público estão próximos ao local onde ele se encontra ou a qualquer outro desejado. O cidadão pode ainda selecionar quais tipos de postos de atendimento deseja visualizar no mapa. O aplicativo utiliza quase todos os conjuntos de dados dos equipamentos públicos e ainda inclui as universidades e institutos federais de ensino superior. Os endereços constantes nessas bases de dados foram geo-codificados para que a sua localização pudesse ser mostrada em um mesmo mapa.

### [Agências do MTE](/aplicativo/mootiro-maps-atendimento-do-ministerio-do-trabalho-e-emprego)

O aplicativo geo-codificação das agências, gerências e superintendências de atendimento do Ministério do Trabalho e Emprego (MTE) inclui no projeto Mootiro Maps a geo-localização desses postos de atendimento, que são considerados equipamentos públicos. O projeto Mootiro Maps é uma iniciativa que pretende contar com a colaboração dos cidadãos (no conceito de crowdsourcing), para identificar e resolver problemas urbanos. Por exemplo, cada posto de atendimento recebe uma página com endereço específico, onde além de constarem as informações oficiais sobre o mesmo, o cidadão pode fazer comentários, compartilhar em redes sociais, curtir, associar a um registro de problema ou projeto.

### [PAC Info](/aplicativo/pac-info)

A solução PAC Info traz uma visualização simplificada das obras do programa. É possível saber onde está cada investimento, qual o valor total já aplicado e o andamento das construções. Além disso, o aplicativo também permite fazer uma comparação dos investimentos por região.

### [Análise do Acesso à Educação](/aplicativo/analise-do-acesso-a-educacao)

O único premiado na categoria infográficos, a solução tem o objetivo de partilhar gráficos que mostram o acesso a Educação Básica e Superior no Brasil. A ferramenta permite, ainda, uma análise da distribuição dos professores pelo País.";"ensino superior,equipamentos públicos,programa de aceleração do crescimento,trabalho,transferências voluntárias";"4";"0";"273"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Consumo de Energia Órgãos Públicos";"Dados de consumo de energia elétrica em órgãos públicos da Administração Direta, Autárquica e Fundacional do Poder Executivo Federal.
Conforme preconiza o [Decreto 10.779/2021](http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/decreto/d10779.htm), todos os órgãos devem publicar na internet o consumo de energia elétrica em comparação com o total consumido no período de 2018 e 2019. A Secretaria de Gestão do Ministério da Economia, por meio da [PORTARIA SEGES/ME Nº 14.584](https://www.gov.br/compras/pt-br/acesso-a-informacao/legislacao/portarias/portaria-seges-me-no-14-584-de-13-de-dezembro-de-2021), definiu que os órgãos deveriam enviar para a SEGES estes dados. 

Durante 08 meses os dados foram coletados e agora são disponibilizados para a sociedade, aumentando assim a transparência sobre dados de consumo de energia.

Como o escopo do Decreto foi limitado aos 08 meses que nele constam, este conjunto de dados não será atualizado periodicamente, sendo estático e alterado apenas quando os órgãos enviarem retificações.";"economia de energia,frictionless-data,transparencia";"4";"0";"400"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Contratos Vigentes";"Base de dados com execução de contratos vigentes de compra e prestação de serviço do Arquivo Nacional.";"CONTRATOS";"11";"0";"387"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados Abertos referentes aos softwares disponíveis no Portal do Software Público Brasileiro";"Lista os Dados Abertos referentes aos softwares disponíveis no Portal do Software Público Brasileiro.

O Software Público Brasileiro é um tipo específico de software livre que atende às necessidades de modernização da administração pública de qualquer dos Poderes da União, dos Estados, do Distrito Federal e dos Municípios e é compartilhado sem ônus no Portal do Software Público Brasileiro, resultando na economia de recursos públicos e constituindo um recurso benéfico para a administração pública e para a sociedade.

O que rege o Software Público Brasileiro atualmente é a Portaria N° 46 de 28 de Setembro de 2016, que dispõe sobre os procedimentos para o desenvolvimento, a disponibilização e o uso do Software Público Brasileiro.";"Estratégia de Governo Digital,compartilhamento de software,governo digital,governo federal,portal do software publico,software de governo,software publico";"2";"0";"134"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados da Estrutura Organizacional do Poder Executivo Federal (Sistema SIORG)";"O órgão gestor do SIORG é o Ministério da Gestão e da Inovação em Serviços Públicos - MGI, por meio da Secretaria de Gestão e Inovação - SEGES.
O Sistema de Organização e Inovação Institucional – SIORG, mantém atualizado o cadastro oficial dos Órgãos e Entidades da administração direta, autárquica e fundacional do Poder Executivo Federal, com suas estruturas organizacionais e respectivos cargos em comissão e funções de confiança alocados. Os serviços aqui disponibilizados proporcionam maior transparência para a sociedade garantindo amplo acesso às informações de seu cadastro oficial.
Os dados abertos do SIORG também podem ser acessados diretamente através do link https://api.siorg.economia.gov.br/
As consultas formuladas na API recebem como resposta arquivos JSON ou XML.";"API,SIORG,administração pública,autarquia,entidade pública,estrutura organizacional,estrutura orgânica,federal,fundação,hierarquia organizacional,poder executivo,órgão,órgão colegiado";"86";"1";"4268"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados de Pessoal do Executivo Federal – Boletim Estatístico de Pessoas - BEP";"O BEP é uma publicação com dados sobre a despesa de pessoal da União, o qual foi publicado até janeiro de 2017.  Foi substituído pelo Painel Estatístico de Pessoal-PEP em março com dados à partir de janeiro de 2017, que contém informações estatísticas de pessoal do Poder Executivo Federal.";"Governo Federal";"1";"0";"193"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados do Serviço de Adesão ao Sistema Compras.Gov e seus módulos";"Este conjunto de dados contém informações dos órgãos que não pertencem ao Sistema de Serviços Gerais, mas que aderiram ao Sistema de Integrado de Administração e Serviços Gerais (SIASG), com toda a fase de adesão realizada por meio do Sistema de Gestão de Acesso (SGA). Abrange dados de órgãos estaduais, municipais, do Distrito Federal e de entidades privadas sem fins lucrativos, além de alguns órgãos federais que não estão cobertos pelo Decreto nº 1.094, de 23 de março de 1994. As informações incluem detalhes como CNPJ, nome do órgão, endereço, CEP, UF, código UASG, entre outros.";"compras,sga,siasg";"2";"0";"114"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados do Sistema de Gestão de Estratégia – SisGE/MGI";"Composição do Mapa Estratégico que consiste em planos que vão ao encontro da visão de longo prazo, fornecendo uma direção clara e estabelecendo o propósito e as metas amplas do Ministério de Gestão e da Inovação em Serviços Públicos - MGI.";"INICIATIVAS ESTRATÉGICAS,MGI,MONITORAMENTO DE PROJETOS,Objetivos Estratégicos,PLANEJAMENTO ESTRATÉGICO,RESULTADOS-CHAVE,SisGE";"1";"0";"31"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados dos Serviços de Atendimento aos Usuários dos Sistemas Estruturantes da SEGES";"Este conjunto de dados compila informações geradas pela Central de Atendimento, que oferece suporte aos usuários dos Sistemas Estruturantes sob a responsabilidade da Secretaria de Gestão e Inovação (SEGES) do Ministério da Gestão e da Inovação em Serviços Públicos (MGI). 

A gestão deste canal é realizada pela Diretoria de Informações, Serviços e Sistemas de Gestão (DTGES), vinculada à SEGES do MGI.";"Atendimento";"3";"0";"72"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados referentes a preços públicos de bens e serviços de Tecnologia da Informação";"Dados estáticos referentes a compras públicas extraídos do Sistema Integrado de Administração de Serviços Gerais (SIASG), do período de 01/01/2017 a 30/04/2019.

As planilhas estão divididas por período de tempo (quadrimestre). Elas englobam os seguintes bens e serviços de TIC:

1. Serviços de TI - Certificação Digital;
2. Serviços de TI - Comunicação de Dados;
3. Serviços de TI - Digitalização de documentos;
4. Serviços de TI - Fábrica de Software;
5. Serviços de TI - Outsourcing de Impressão;
6. Serviços de TI - Service Desk;
7. Bens de TI - Ativos de Rede;
8. Bens de TI - Computadores desktop;
9. Bens de TI - Impressoras;
10. Bens de TI - Insumos e Peças para Impressoras;
11. Bens de TI - Monitores;
12. Bens de TI - Notebooks;
13. Bens de TI - Pendrives e HD externo;
14. Bens de TI - Scanners;
15. Bens de TI - Servidores de Rede;
16. Bens de TI - Softwares e Aplicativos;
17. Bens de TI - Storage;
18. Bens de TI - Tablets;
19. Bens de TI - Videoconferência.

Esclarece-se os dados disponibilizados nas planilhas contém extrações realizadas entre  01/01/2017 a 30/04/2019 e foram tratadas com filtros, e que, a partir desta data, com a implantação do Painel de Preços e Painel de Compras, descontinuou-se as extrações, uma vez que com a plena implantação dos paineis, o usuário poderá acessar diretamente os dados, na forma bruta, ou aplicar filtros para acessar os dados de interesse, diretamente da fonte. 

Ferramentas de disponibilização de dados de compras públicas:

1- Painel de Compras em:
http://paineldecompras.economia.gov.br/;

2- Painel de Preços em:
https://paineldeprecos.planejamento.gov.br/

3- API de Compras Governamentais: http://compras.dados.gov.br/docs/home.html

4- Comprasnet Contratos: https://contratos.comprasnet.gov.br/transparencia/contratos";"Licitações e Contratos,compras governamentais,licitação";"7";"0";"126"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados sinteticos das analises de aquisicoes de grande vulto de TIC realizadas e deliberadas";"Dados sintéticos das análises de aquisições de grande vulto de TIC realizadas e deliberadas (Análise de alçadas de valor realizadas pela SGD para contratações cujo valor estimado é superior a 20 milhões de reais).";"Alçadas de Valor de Contratações de TIC,Aquisições de TIC de grande vulto,Instrução Normativa 06 de 2023 SGD MGI,contratações de TIC";"1";"0";"17"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Dados sobre os normativos e orientacoes do poder executivo federal sobre contratacoes de TIC";"Dados sobre os normativos e orientações vigentes do poder executivo federal sobre contratações de TIC. Leis, Decretos, Instruções Normativas da Secretaria de Governo Digital, outras Instruções Normativas, Portarias, Leis e Normas Revogadas.";"Normativos sobre contratações de TIC,contratações de TIC";"1";"0";"19"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Demonstrações Contábeis MGI";"As Demonstrações Contábeis são elaboradas em consonância com os dispositivos da Lei nº 4.320/1964, do Decreto-Lei nº 200/1967, do Decreto nº 93.872/1986, da Lei nº 10.180/2001 e da Lei Complementar nº 101/2000. Abrangem, também, as Normas Brasileiras de Contabilidade Aplicadas ao Setor Público (NBC TSP) do Conselho Federal de Contabilidade (CFC), o Manual de Contabilidade Aplicada ao Setor Público (MCASP) e o Manual SIAFI, ambos da Secretaria do Tesouro Nacional (STN). As Demonstrações Contábeis foram elaboradas a partir das informações constantes no Sistema Integrado de Administração Financeira do Governo Federal (SIAFI), e tiveram como escopo as informações consolidadas das contas contábeis das unidades do Ministério da Gestão e da Inovação em Serviços Públicos, administração direta, que é integrante do Orçamento Fiscal e da Seguridade Social (OFSS).";"Demonstrações Contábeis,SIAFI";"1";"0";"26"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Desafio + Brasil";"![Banner de chamada do Desafio + Brasil.](http://dados.gov.br/wp/wp-content/uploads/2019/02/desafio-mais-brasil.jpg)

Hackathon de processos & TI na transferência de recursos federais.

## O que é o Desafio + Brasil?

Vamos juntar nossos conhecimentos e nosso orgulho de ser brasileiro! Amantes de suas vocações: tecnologia, gestores municipais, administradores, técnicos das mais diversas transferências, designers, executivos, parlamentares… cidadãos comuns, mas com vontade de INOVAÇÃO.

Unidos por um objetivo: compartilhar os obstáculos que trazem problemas na transferência de recursos no Brasil para que, juntos, possamos transformar o entendimento dos obstáculos e as ideias de cada um em soluções.";"desafio,hackathon";"2";"0";"10"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Diretório Brasil de Arquivos (Dibrarq)";"O Diretório Brasil de Arquivos (DIBRARQ) é uma iniciativa do Arquivo Nacional e o do Conselho Nacional de Arquivos (Conarq) que reúne informações sobre instituições e pessoas que guardam e promovem o acesso aos documentos que custodiam. Como benefício, incrementa a visibilidade dessas entidades custodiadoras de acervos. Informações a serem disponibilizadas: Entidade custodiadora; Nível de descrição; Objeto digital disponível; Instrumento de pesquisa; Status dos direitos autorais; Designação geral do material; Data inicial; Data final.";"Arquivo Nacional";"4";"0";"36"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Domínios gov.br";"Informações sobre os domínios da categoria ""gov.br"", registrados no Registro.br, atualizadas **diariamente** pela Secretaria de Governo Digital (SGD) do Ministério da Gestão e da Inovação em Serviços Públicos.

As informações disponibilizadas nesta página são atualizadas de forma diária, garantindo que o arquivo acessível por meio do link na seção de **Recursos** contenha sempre a versão mais recente dos dados. Essa prática visa assegurar que os usuários tenham acesso contínuo às informações mais atualizadas sobre os domínios públicos registrados sob a categoria ""gov.br"".

Para atender demandas específicas por versões históricas ou arquivos correspondentes a datas anteriores, solicitações devem ser encaminhadas diretamente à área técnica responsável. É necessário especificar a data exata do arquivo desejado no pedido, que pode ser enviado para o e-mail de contato técnico disponibilizado.";"Dados Estratégicos,dns,domínios,governo eletrônico,localização internet";"2";"0";"910"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Boletim das Estatais";"O Boletim das Empresas Estatais Federais traz informações sobre as empresas estatais federais, as quais a União detém, direta ou  indiretamente, a maioria do capital social com  direito a voto, e sociedades de economia mista e suas subsidiárias. Reúne informações e dados sobre o orçamento, investimentos e aportes da União; dados econômico-financeiros; e política de pessoal e previdência, como a evolução do quadro de pessoal e despesas.

O Boletim das Estatais é uma publicação trimestral da Secretaria de Coordenação e Governança das Empresas Estatais (Sest) e pode ser acessado neste endereço eletrônico:

https://www.gov.br/gestao/pt-br/central-de-conteudo/publicacoes/boletins/boletim-das-empresas-estatais-federais

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal";"1";"0";"288"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Dados Financeiros";"Dados Financeiros das Empresas Estatais Federais.

__Conceito__

Os dados financeiros compreendem os demonstrativos contábeis: Balanço Patrimonial (Balanço), Demonstração do Resultado do Exercício (DRE), Demonstração do Valor Adicionado (DVA) e Demonstração do Fluxo de Caixa (DFC). Além disso, são apresentados os dados de Participação Societária, Composição Acionária e Auditoria Externa.

__Legislação__

Lei nº 13.303, de 2016 (Lei das Estatais);
Lei nº 6.404, de 1976 (Lei das Sociedades por Ações);
Resolução CFC 686, de 1990.

__Veja Também__

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal";"1";"0";"135"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Endividamento - Legado";"Dados Legados de Endividamento das Empresas Estatais Federais

__Conceito__

Este conjunto reúne informações sobre o endividamento das empresas estatais federais até o exercício de 2024. A partir do exercício de 2025, essas informações passam a integrar o conjunto de dados financeiros. 

Os dados são apresentados no formato de natureza e prazo de vencimento do endividamento.

__Legislação__

Lei nº 13.303, de 2016 (Lei das Estatais);
Lei nº 6.404, de 1976 (Lei das Sociedades por Ações).

__Veja Também__

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal";"1";"0";"6"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Gestão de Dirigentes e Conselheiros (Atual)";"Informações sobre dirigentes, conselheiros e membros de Comitê das Empresas Estatais Federais.

__Conceito__

Dirigentes, conselheiros e membros de Comitê de empresas estatais são pessoas que ocupam cargos de liderança e supervisão dentro dessas empresas que pertencem ao governo federal.

Dirigentes são os responsáveis pela gestão executiva da empresa. Tomam decisões operacionais e estratégicas para fazer a empresa funcionar. Exemplos: presidente (ou CEO) e diretores (financeiro, operacional, etc.).

Conselheiros fazem parte do chamado Conselho de Administração ou do Conselho Fiscal. O Conselho de Administração é o órgão estratégico e de decisão, que define os rumos da empresa (estratégia, investimentos, metas), escolhe e pode demitir os dirigentes (diretores, presidente), acompanha o desempenho da gestão e aprova decisões importantes (fusões, grandes contratos, etc.). Já o Conselho Fiscal é o órgão de fiscalização e controle, atuando na análise das contas da empresa e acompanhamento do cumprimento de leis e normas.

Membros de comitê são pessoas que fazem parte de times especializados dentro da estrutura de governança de uma empresa para tratar de temas específicos (auditoria, governança, pessoas, riscos, etc.) com mais profundidade e analisar assuntos importantes antes das decisões finais do Conselho.

Em empresas estatais federais, esses cargos costumam ter ligação com o governo, já que o controle da empresa pertence à União. Por isso, muitas vezes são indicados por autoridades públicas, mas devem seguir regras de governança.

__Legislação__

No Brasil, esse tipo de empresa é regulamentado pela Lei n° 13.303, de 2016 (Lei das Estatais).

__Veja Também__

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal";"1";"0";"4"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Gestão de Dirigentes e Conselheiros (Legado)";"Informações legadas sobre dirigentes, conselheiros e membros de Comitê das Empresas Estatais Federais.

__Conceito__

Dirigentes, conselheiros e membros de Comitê de empresas estatais são pessoas que ocupam cargos de liderança e supervisão dentro dessas empresas que pertencem ao governo federal.

Dirigentes são os responsáveis pela gestão executiva da empresa. Tomam decisões operacionais e estratégicas para fazer a empresa funcionar. Exemplos: presidente (ou CEO) e diretores (financeiro, operacional, etc.).

Conselheiros fazem parte do chamado Conselho de Administração ou do Conselho Fiscal. O Conselho de Administração é o órgão estratégico e de decisão, que define os rumos da empresa (estratégia, investimentos, metas), escolhe e pode demitir os dirigentes (diretores, presidente), acompanha o desempenho da gestão e aprova decisões importantes (fusões, grandes contratos, etc.). Já o Conselho Fiscal é o órgão de fiscalização e controle, atuando na análise das contas da empresa e acompanhamento do cumprimento de leis e normas.

Membros de comitê são pessoas que fazem parte de times especializados dentro da estrutura de governança de uma empresa para tratar de temas específicos (auditoria, governança, pessoas, riscos, etc.) com mais profundidade e analisar assuntos importantes antes das decisões finais do Conselho.

Em empresas estatais federais, esses cargos costumam ter ligação com o governo, já que o controle da empresa pertence à União. Por isso, muitas vezes são indicados por autoridades públicas, mas devem seguir regras de governança.

__Legislação__

No Brasil, esse tipo de empresa é regulamentado pela Lei n° 13.303, de 2016 (Lei das Estatais).

__Veja Também__

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal";"1";"0";"3"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Identificação das Empresas Estatais";"Informações Cadastrais das Empresas Estatais Federais.

__Conceito__

Empresa Estatal Federal é uma empresa criada por meio de lei, que pertence à União. Geralmente, empresas estatais podem ser empresas públicas, com capital 100% público, ou sociedades de economia mista, cujas ações com direito a voto pertençam em sua maioria à União.

__Legislação__

No Brasil, esse tipo de empresa é regulamentado pela Lei n° 13.303, de 2016 (Lei das Estatais).

__Veja Também__

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal";"1";"0";"288"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Orçamento de Investimento das Empresas Estatais Federais Não Dependentes";"Receita e Despesa do Orçamento de Investimento (OI) das Empresas Estatais Federais Não Dependentes.

__Conceito__

Empresa Estatal Federal Não Dependente é a empresa estatal que não recebe do ente controlador (União) recursos financeiros para pagamento de despesas com pessoal ou de custeio em geral ou de capital, excluídos, no último caso, aqueles provenientes de aumento de participação acionária.

__Legislação__

A publicação do Orçamento de Investimento das Empresas Estatais Federais Não Dependentes subordina-se ao §3º do art. 165 da Constituição Federal.

__Veja Também__

Outras informações acerca do assunto podem ser encontradas no site Siga Brasil, dentro do Painel Especialista, na aba Estatais ou pelo link

 https://www9.senado.leg.br/QvAJAXZfc/opendoc.htm?document=Senado%2FSigaBrasilPainelEspecialista.qvw&host=QVS%40www9&anonymous=true

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal,Orçamento de Investimento";"1";"0";"296"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Política de Aplicação das Agências Financeiras Oficiais de Fomento";"Política de Aplicação das Agências Financeiras Oficiais de Fomento.

__Conceito__

Trata-se de plano de aplicação de recursos (empréstimos e financiamentos) das agências financeiras oficiais de fomento, observando a preservação e geração do emprego e as prioridades determinadas anualmente pela Lei de Diretrizes Orçamentárias (LDO).

As Agências Financeiras de Fomento configuram mecanismos de realização de políticas públicas de investimento e desenvolvimento, cujo objetivo maior é a propagação do bem-estar social, contribuindo para o desenvolvimento social e econômico dos estados, a fim de garantir sua sustentabilidade e reduzir as desigualdades regionais e sociais.

Assim, são consideradas agências oficiais, em relação à política de aplicação, o Banco da Amazônia S.A (BASA), o Banco do Brasil S.A. (BB), o Banco Nacional de Desenvolvimento Econômico e Social (BNDES) e suas subsidiárias (o BNDES Participações - BNDESPAR e a Agência Especial de Financiamento Industrial - FINAME), o Banco do Nordeste do Brasil S.A. (BNB), a Caixa Econômica Federal (CAIXA) e a Financiadora de Estudos e Projetos (FINEP).

__Legislação__

Lei de Diretrizes Orçamentárias – LDO, uma lei anual, que em relação às agências financeiras oficiais de fomento define as diretrizes de como devem ser aplicados seus recursos.

Lei Orçamentária Anual - LOA, uma lei anual, que em relação às agências financeiras oficiais de fomento constam com valores e previsões financeiras, especialmente no orçamento de investimento e nas operações de crédito.

Lei nº 13.303, de 2016 (Lei das Estatais).

__Veja Também__

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal,Orçamento";"1";"0";"0"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Empresas Estatais Federais - Programa de Dispêndios Globais";"Usos (Aplicação dos Recursos) e Fontes (Origem dos Recursos) do Programa de Dispêndios Globais.

__Conceito__

O Programa de Dispêndios Globais – PDG é a peça orçamentária das empresas estatais federais não dependentes na visão do Governo Federal. Isso porque compreende as fontes de recursos e os dispêndios previstos para o ano de referência, mantendo-se o alinhamento com os registros contábeis das respectivas empresas, em um Plano de Contas Único que possibilita a padronização e a sistematização da troca de informações econômico-financeiras. O PDG representa importante instrumento para a coordenação e o monitoramento da atuação das estatais federais não dependentes ao captar informações que permitem conhecer o desempenho das empresas no que se refere à geração de receitas e resultados, gestão de despesas, produtividade, entre outros.

__Legislação__

Lei de Diretrizes Orçamentárias – LDO, uma lei anual, que em relação ao PDG estabelece a meta de resultado primário a ser observada no exercício seguinte e a possibilidade de compensação entre as metas estabelecidas para os Orçamentos Fiscal e da Seguridade Social e para o PDG. 

Lei Orçamentária Anual - LOA, uma lei anual, que em relação ao PDG apresenta o demonstrativo sintético, por empresa, informando as fontes de financiamento, suas respectivas aplicações, bem como o resultado primário dessas empresas.

Lei nº 13.303, de 2016 (Lei das Estatais).

Lei nº 6.404, de 1976 (Lei das Sociedades por Ações).

Decreto Presidencial de aprovação do PDG, um decreto anual.

__Veja Também__

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";"Empresas Estatais,Governo Federal,Orçamento";"1";"0";"37"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Entrada de Estrangeiros";"Base de dados que reúne informações de imigrantes do período de 1875 a 1910.";"1875,1910,AN,Arquivo,Arquivo Nacional,Entradas,Estrangeiro,Imigrantes";"10";"0";"1239"
"Ministério da Gestão e da Inovação em Serviços Públicos";"Etapas executadas na plataforma de automação de serviços públicos do gov.br";"Dados anonimizados das etapas executadas na plataforma de automação de serviços públicos do gov.br, tais como, protocolo, órgão, serviço, etapas, fases, status e datas.
* Importante: O arquivo JSON disponibilizado para download no recurso é atualizado mensalmente.";"Atendimento ao cidadão,Decreto 8936-2016,Estratégia de Governo Digital,automação,digitalização de serviços,gov.br,serviços públicos,tempo de execução";"2";"0";"63"
