Organização;Nome;Descrição;Tags;Quantidade Recursos;Quantidade Reusos;Quantidade Downloads;_eixo;_matches
Ministério da Gestão e da Inovação em Serviços Públicos;Domínios gov.br;"Informações sobre os domínios da categoria ""gov.br"", registrados no Registro.br, atualizadas **diariamente** pela Secretaria de Governo Digital (SGD) do Ministério da Gestão e da Inovação em Serviços Públicos.

As informações disponibilizadas nesta página são atualizadas de forma diária, garantindo que o arquivo acessível por meio do link na seção de **Recursos** contenha sempre a versão mais recente dos dados. Essa prática visa assegurar que os usuários tenham acesso contínuo às informações mais atualizadas sobre os domínios públicos registrados sob a categoria ""gov.br"".

Para atender demandas específicas por versões históricas ou arquivos correspondentes a datas anteriores, solicitações devem ser encaminhadas diretamente à área técnica responsável. É necessário especificar a data exata do arquivo desejado no pedido, que pode ser enviado para o e-mail de contato técnico disponibilizado.";Dados Estratégicos,dns,domínios,governo eletrônico,localização internet;2;0;910;Compras/Contratos/Licitações/Orçamento;ata,licita
Ministério da Gestão e da Inovação em Serviços Públicos;SICONV;O Sistema de Gestão de Convênios e Contratos de Repasse (SICONV) é a iniciativa do Governo Federal responsável por todo o ciclo de vida dos convênios, contratos de repasse e termos de parceria, no qual são registrados os atos, desde a formalização da proposta até a prestação de contas final.;convenios,parceria,repasses,termos de cooperação,transferencias da uniao,transferência;1;0;839;Compras/Contratos/Licitações/Orçamento;contrat,contrato,contratos,convenio,convênio,siconv
Ministério da Gestão e da Inovação em Serviços Públicos;Informações dos serviços públicos prestados pelo Governo Federal;"Publicação de informações dos serviços públicos prestados pelo Governo Federal no portal único __[GOV.BR](https://gov.br)__.

Há nos recursos deste _dataset_ operação de consulta à todos os serviços públicos federais.

__* Importante:__ A consulta disponibilizada aos serviços públicos é __atualizada diariamente__";Cidadão,Dados Estratégicos,Decreto 10332-2020,Decreto 8936-2016,EGD,Estratégia de Governo Digital,Serviços públicos,digitalização de serviços,governo federal,serviços digitais;1;0;734;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;SIAPE;O Sistema Integrado de Administração de Recursos Humanos (SIAPE) tem a missão de integrar todas as plataformas de gestão da folha de pessoal dos servidores públicos. ;aposentadoria,aposentados,ativos,folha de pagamento,pagamento,pensão,recursos humanos,servidor,servidores,siape,siapenet;1;1;716;Compras/Contratos/Licitações/Orçamento;ata,pagamento
Ministério da Gestão e da Inovação em Serviços Públicos;Aposentados;"As informações disponíveis nesta consulta referem-se aos servidores aposentados do Poder Executivo Federal, não incluindo portanto, dados sobre servidores ativos, pensionistas ou instituidores de pensão, nem mesmo sobre servidores dos poderes Judiciário e Legislativo. 
Os dados sobre servidores civis têm origem no Sistema Integrado de Administração de Recursos Humanos (Siape) e reúnem informações dos órgãos integrantes do Sistema de Pessoal Civil da Administração Federal (Sipec), e não incluem dados relativos aos servidores do Banco Central do Brasil (Bacen). 
Os arquivos são os disponibilizados pelo Portal de dados abertos, e portanto, não são da fonte primária. Estão disponíveis informações, em formato aberto, sobre nome do aposentado, cpf (desconfigurado) órgão de origem, cargo emprego, regime jurídico, fundamentação da aposentadoria  dos servidores públicos do executivo federal. 
Os arquivos abaixo apresentam: 
1) Servidores: NOME; CPF(descaracterizado); MATRICULA; SITUAÇÃO DE VINCULO; UPAG(unidade pagadora); ÓRGÃO DE ORIGEM; DESCRIÇÃO-CARGO-EMPREGO;  CLASSE-CARGO; PADRÃO-CARGO; REFERENCIA-CARGO; NÍVEL_CARGO ; REGIME JURÍDICO; FUNDAMENTAÇÃO DA APOSENTADORIA; DATA DA OCORRÊNCIA; DATA DA PUBLICAÇÃO DOU; DATA DE APOSENTADORIA; INGRESSO NO SERVIÇO PÚBLICO; DOCUMENTO LEGAL; NÚMERO DO DOCUMENTO LEGAL E DATA DE PUBLICAÇÃO.";Ações  do Governo Federal;1;0;658;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Adesão ao Conecta Gov.br - programa de interoperabilidade do Poder Executivo Federal;"O Conecta GOV.BR é um programa que promove a troca automática e segura de informações entre os sistemas para que o cidadão não tenha que reapresentar informações que o governo já possua. Isso é um direito do cidadão garantido pela Lei 13.726/2018 - Simplificação e pela Lei 14.129/2021 - Governo Digital. 

O Conecta é uma iniciativa da Secretaria de Governo Digital para os órgãos e entidades do Poder Executivo Federal, que tem como principais objetivos desonerar o cidadão, simplificar o serviço público, reduzir fraude e trazer mais segurança e economia para todo o processo.

Para promover a interoperabilidade, o órgão precisa realizar adesão ao Conecta GOV.BR para ter acesso aos dados. Todavia, para ter acesso aos dados, será necessário que o órgão aderente tenha autorização do órgão gestor dos dados e que a solicitação esteja aderente à LGPD.";conecta gov.br,economicidade,infraestrutura nacional de dados,integração de dados,interoperabilidade;10;0;548;Compras/Contratos/Licitações/Orçamento;licita,licitação
Ministério da Gestão e da Inovação em Serviços Públicos;Metadados para API Consulta SICAR CPF/CNPJ - ConectaGov;"Metadados para os Atributos Listados Abaixo da API de Consulta de imóvel do CAR por meio de CPF ou CNPJ e Informações de Acesso para essa API:

Parâmetros de Entrada:
cpfCnpj.

Parâmetros de Saída
identificadorImovel;	
codigoImovel;
indicadorAtivo.	

Conforme detalhes em: https://www.gov.br/conecta/catalogo/apis/consulta-sicar-cpf-cnpj";Cadastro,Código Florestal,Meio Ambiente;1;0;483;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Gestão de Pessoas (Executivo Federal) - Gratificação Temporária das Unidades dos Sistemas Estruturadores da Administração Pública Federal (GSISTE);"Contempla os dados cadastrais de servidores públicos efetivos ativos do Poder Executivo Federal Civil que recebem Gratificação Temporária das Unidades dos Sistemas Estruturadores da Administração Pública Federal (Gsiste), como nome, CPF, cargo, órgão. O arquivo disponibilizado reúne informações dos órgãos integrantes do Sistema de Pessoal Civil da Administração Federal (Sipec) e não inclui dados sobre servidores do Banco Central do Brasil.

O presente conjunto de dados foi descontinuado a partir de 08/2021, sendo substituído pelo conjunto de dados Gestão de Pessoas (Executivo Federal) – Gratificações. Para informações a partir de 08/2021, acesse https://dados.gov.br/dataset/gestao-de-pessoas-executivo-federal-gratificacoes


__Conceito__

A Gratificação Temporária das Unidades dos Sistemas Estruturadores da Administração Pública Federal - GSISTE, instituída pela Lei no 11.356, de 19 de outubro de 2006, é concedida aos titulares de cargos de provimento efetivo, em efetivo exercício no órgão central e nos órgãos setoriais, seccionais e correlatos dos seguintes Sistemas estruturados a partir do disposto no Decreto-Lei no 200, de 25 de fevereiro de 1967, enquanto permanecerem nesta condição: I - de Planejamento e de Orçamento Federal; II - de Administração Financeira Federal; III - de Contabilidade Federal; IV - de Controle Interno do Poder Executivo Federal; V - de Informações Organizacionais do Governo Federal - SIORG; VI - de Gestão de Documentos de Arquivo - SIGA; VII - de Pessoal Civil da Administração Federal - SIPEC; VIII - de Administração dos Recursos de Informação e Informática - SISP; e IX - de Serviços Gerais - SISG.

__Política Pública__

Política pública de aperfeiçoamento contínuo dos processos de gestão de pessoas no âmbito da administração pública federal.

__Outras informações__

https://www.gov.br/servidor/pt-br/observatorio-de-pessoal-govbr

http://painel.pep.planejamento.gov.br
";Ativo,GSISTE,Gratificação,Poder Executivo,servidor público;59;0;466;Compras/Contratos/Licitações/Orçamento;ata,orçament
Ministério da Gestão e da Inovação em Serviços Públicos;Gestão de Pessoas (Executivo Federal) - Auxílio Pré-escolar;"Contempla dados cadastrais e financeiros dos servidores públicos ativos do Poder Executivo Federal Civil que recebem Auxílio Pré-Escolar. Arquivo em formato CSV.
O conjunto de dados não contempla os servidores da Agência Brasileira de Inteligência, Banco Central do Brasil, Defensoria Pública da União, Departamento de Polícia Federal, Departamento de Polícia Rodoviária Federal e os servidores da Carreira de Execução Penal. O Auxílio Pré-Escolar é um benefício concedido aos servidores ativos para auxiliar nas despesas pré-escolares de filhos ou dependentes na faixa etária compreendida do nascimento aos 06 (seis) anos de idade.";Poder Executivo Federal,Servidor Público,Servidor Público Federal,auxílio,auxílio pré-escolar;45;0;446;Compras/Contratos/Licitações/Orçamento;despesa
Ministério da Gestão e da Inovação em Serviços Públicos;Consumo de Energia Órgãos Públicos;"Dados de consumo de energia elétrica em órgãos públicos da Administração Direta, Autárquica e Fundacional do Poder Executivo Federal.
Conforme preconiza o [Decreto 10.779/2021](http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/decreto/d10779.htm), todos os órgãos devem publicar na internet o consumo de energia elétrica em comparação com o total consumido no período de 2018 e 2019. A Secretaria de Gestão do Ministério da Economia, por meio da [PORTARIA SEGES/ME Nº 14.584](https://www.gov.br/compras/pt-br/acesso-a-informacao/legislacao/portarias/portaria-seges-me-no-14-584-de-13-de-dezembro-de-2021), definiu que os órgãos deveriam enviar para a SEGES estes dados. 

Durante 08 meses os dados foram coletados e agora são disponibilizados para a sociedade, aumentando assim a transparência sobre dados de consumo de energia.

Como o escopo do Decreto foi limitado aos 08 meses que nele constam, este conjunto de dados não será atualizado periodicamente, sendo estático e alterado apenas quando os órgãos enviarem retificações.";economia de energia,frictionless-data,transparencia;4;0;400;Compras/Contratos/Licitações/Orçamento;ata,compra,compras
Ministério da Gestão e da Inovação em Serviços Públicos;Contratos Vigentes;Base de dados com execução de contratos vigentes de compra e prestação de serviço do Arquivo Nacional.;CONTRATOS;11;0;387;Compras/Contratos/Licitações/Orçamento;compra,contrat,contrato,contratos
Ministério da Gestão e da Inovação em Serviços Públicos;Sistema de Transportes de Servidores Públicos - TaxiGov;"__Atenção__: Uma versão mais atualizada está disponível no [link](https://dados.gov.br/dados/conjuntos-dados/sistema-de-transportes-de-servidores-publicos---taxigov-v2)

(Esta versão será descontinuada em 02/2024)
Corridas de servidores do poder executivo da Administração Pública Federal através do programa Taxigov.

Os dados estão disponíveis em 2 recursos:

1. Corridas individuais anonimizadas, de forma granular
2. Quantidades de corridas por solicitante e por passageiro, agrupadas por mês

__Conceito__ 

Serviço de transporte de servidores e colaboradores da Administração Pública Federal em deslocamentos a trabalho com o uso de táxis, que começou a ser implementado em março de 2017, em Brasília. A partir de 2019, o projeto se expandiu para outras localidades do Brasil.

O objetivo é melhorar a oferta de serviços de transporte administrativo ao servidor, com economia, transparência de gastos públicos e eficiência, através do uso de tecnologia.

__Instrução Normativa__

O funcionamento do Taxigov é regido pela **[Instrução Normativa 10/2018](https://www.in.gov.br/materia/-/asset_publisher/Kujrw0TZC2Mb/content/id/52001726/do1-2018-11-27-instrucao-normativa-n-10-de-23-de-novembro-de-2018-52001279)**.

Site oficial do taxigov: https://www.gov.br/economia/pt-br/assuntos/gestao/central-de-compras/taxigov

__Atualização__

* Para as corridas individualizadas, são gerados arquivos mensais. O arquivo do mês atual é atualizado diariamente, com dados do dia anterior (D-1).
* Para as quantidades agregadas por pessoa por mês, o arquivo é atualizado diariamente, com dados do dia anterior (D-1).

Para abrir arquivos CSV pelo Excel, sugerimos seguir a documentação da Microsoft: https://support.microsoft.com/pt-br/office/importar-ou-exportar-arquivos-de-texto-txt-ou-csv-5250ac4c-663c-47ce-937b-339e391393ba#ID0EBBN=Newer_versions

Outros processadores de planilha também são capazes de abrir arquivos CSV normalmente (exemplos: OpenOffice, LibreOffice, etc.).";corridas do taxigov,despesa,serviço de taxi,taxi,taxigov,terceirização,transporte;62;0;378;Compras/Contratos/Licitações/Orçamento;compra,compras,despesa,licita
Ministério da Gestão e da Inovação em Serviços Públicos;Governo Digital - Catálogo de conjuntos de dados que integram o dados.gov.br;"Conjuntos de dados catalogados no Portal Brasileiro de Dados Abertos. Contém, ainda, informações sobre todos os órgãos nele cadastrados.

### Conceito

Agrupamento de informações com os nomes dos órgãos inseridos no portal.

### Política Pública

Fortalecimento da política de dados abertos no executivo federal.

### Legislação

Decreto 8777/2016.

### Veja também

http://wiki.dados.gov.br/Politica-de-Dados-Abertos.ashx

### Outras informações

Consulte o [manual da API do CKAN](https://docs.ckan.org/en/2.6/api/index.html) para saber os parâmetros de consulta e campos de retorno.";conjuntos de dados,dados,órgãos;2;0;359;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Gestão de Pessoas (Executivo Federal) - Auxílio Natalidade;"Contempla dados cadastrais e financeiros dos servidores públicos ativos do Poder Executivo Federal Civil que recebem Auxílio Natalidade.
O conjunto de dados não contempla os servidores da Agência Brasileira de Inteligência, Banco Central do Brasil, Defensoria Pública da União, Departamento de Polícia Federal, Departamento de Polícia Rodoviária Federal e os servidores da Carreira de Execução Penal. O Auxílio Natalidade é um benefício devido à servidora por motivo de nascimento de filho, inclusive natimorto, em quantia equivalente ao menor vencimento do serviço público federal vigente na data do nascimento, sendo acrescido de 50% (cinquenta por cento), por nascituro, na hipótese de parto múltiplo. O auxílio natalidade é devido ao cônjuge ou companheiro (servidor público federal), quando a genitora não for ocupante de cargo efetivo regido pela Lei nº 8.112, de 1990. O servidor aposentado possui direito ao auxílio-natalidade.";Poder Executivo Federal,auxílio,natalidade,servidor público;46;0;357;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Sistema de Transportes de Servidores Públicos - TaxiGov v2;"Corridas de servidores do poder executivo da Administração Pública Federal através do programa Taxigov dos últimos 7 dias (Versão 2).

Os dados estão disponíveis em 2 recursos:

1. Corridas individuais anonimizadas, de forma granular
2. Quantidades de corridas por solicitante e por passageiro, agrupadas por ano

__Conceito__ 

Serviço de transporte de servidores e colaboradores da Administração Pública Federal em deslocamentos a trabalho com o uso de táxis, que começou a ser implementado em março de 2017, em Brasília. A partir de 2019, o projeto se expandiu para outras localidades do Brasil.

O objetivo é melhorar a oferta de serviços de transporte administrativo ao servidor, com economia, transparência de gastos públicos e eficiência, através do uso de tecnologia.

__Instrução Normativa__

O funcionamento do Taxigov é regido pela **[Instrução Normativa 10/2018](https://www.in.gov.br/materia/-/asset_publisher/Kujrw0TZC2Mb/content/id/52001726/do1-2018-11-27-instrucao-normativa-n-10-de-23-de-novembro-de-2018-52001279)**.

Site oficial do taxigov: https://www.gov.br/economia/pt-br/assuntos/gestao/central-de-compras/taxigov

__Atualização__

* Para as corridas individualizadas, são gerados arquivos anuais. O arquivo do ano atual é atualizado diariamente, com dados do dia anterior (D-1).
* Para as quantidades agregadas por pessoa por mês, o arquivo é atualizado diariamente, com dados do dia anterior (D-1).

Para abrir arquivos CSV pelo Excel, sugerimos seguir a documentação da Microsoft: 
[link](https://support.microsoft.com/pt-br/office/importar-ou-exportar-arquivos-de-texto-txt-ou-csv-5250ac4c-663c-47ce-937b-339e391393ba#ID0EBBN=Newer_versions)

Outros processadores de planilha também são capazes de abrir arquivos CSV normalmente (exemplos: OpenOffice, LibreOffice, etc.).";corridas do taxigov,despesa,serviço de taxi,taxi,taxigov,terceirização,transporte;14;0;316;Compras/Contratos/Licitações/Orçamento;compra,compras,despesa,licita
Ministério da Gestão e da Inovação em Serviços Públicos;Gestão de Pessoas (Executivo Federal) - Auxílio-Transporte;"Contempla dados cadastrais e financeiros dos servidores públicos ativos do Poder Executivo Federal Civil que recebem Auxílio Transporte. Arquivo em formato CSV.
O conjunto de dados não contempla os servidores da Agência Brasileira de Inteligência, Banco Central do Brasil, Defensoria Pública da União, Departamento de Polícia Federal, Departamento de Polícia Rodoviária Federal e os servidores da Carreira de Execução Penal. O auxílio-transporte, pago pela União, em pecúnia, possui natureza jurídica indenizatória, destinado ao custeio parcial das despesas realizadas com transporte coletivo municipal, intermunicipal ou interestadual pelo servidor ou empregado público da Administração Pública Federal direta, suas autarquias e fundações, nos deslocamentos de suas residências para os locais de trabalho e vice-versa.";Poder Executivo Federal,auxílio,auxílio-transporte;41;0;314;Compras/Contratos/Licitações/Orçamento;despesa,pago
Ministério da Gestão e da Inovação em Serviços Públicos;Empresas Estatais Federais - Orçamento de Investimento das Empresas Estatais Federais Não Dependentes;"Receita e Despesa do Orçamento de Investimento (OI) das Empresas Estatais Federais Não Dependentes.

__Conceito__

Empresa Estatal Federal Não Dependente é a empresa estatal que não recebe do ente controlador (União) recursos financeiros para pagamento de despesas com pessoal ou de custeio em geral ou de capital, excluídos, no último caso, aqueles provenientes de aumento de participação acionária.

__Legislação__

A publicação do Orçamento de Investimento das Empresas Estatais Federais Não Dependentes subordina-se ao §3º do art. 165 da Constituição Federal.

__Veja Também__

Outras informações acerca do assunto podem ser encontradas no site Siga Brasil, dentro do Painel Especialista, na aba Estatais ou pelo link

 https://www9.senado.leg.br/QvAJAXZfc/opendoc.htm?document=Senado%2FSigaBrasilPainelEspecialista.qvw&host=QVS%40www9&anonymous=true

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";Empresas Estatais,Governo Federal,Orçamento de Investimento;1;0;296;Compras/Contratos/Licitações/Orçamento;ata,despesa,orçament,pagamento,receita
Ministério da Gestão e da Inovação em Serviços Públicos;Empresas Estatais Federais - Boletim das Estatais;"O Boletim das Empresas Estatais Federais traz informações sobre as empresas estatais federais, as quais a União detém, direta ou  indiretamente, a maioria do capital social com  direito a voto, e sociedades de economia mista e suas subsidiárias. Reúne informações e dados sobre o orçamento, investimentos e aportes da União; dados econômico-financeiros; e política de pessoal e previdência, como a evolução do quadro de pessoal e despesas.

O Boletim das Estatais é uma publicação trimestral da Secretaria de Coordenação e Governança das Empresas Estatais (Sest) e pode ser acessado neste endereço eletrônico:

https://www.gov.br/gestao/pt-br/central-de-conteudo/publicacoes/boletins/boletim-das-empresas-estatais-federais

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";Empresas Estatais,Governo Federal;1;0;288;Compras/Contratos/Licitações/Orçamento;ata,despesa,orçament
Ministério da Gestão e da Inovação em Serviços Públicos;Empresas Estatais Federais - Identificação das Empresas Estatais;"Informações Cadastrais das Empresas Estatais Federais.

__Conceito__

Empresa Estatal Federal é uma empresa criada por meio de lei, que pertence à União. Geralmente, empresas estatais podem ser empresas públicas, com capital 100% público, ou sociedades de economia mista, cujas ações com direito a voto pertençam em sua maioria à União.

__Legislação__

No Brasil, esse tipo de empresa é regulamentado pela Lei n° 13.303, de 2016 (Lei das Estatais).

__Veja Também__

Visite também o Panorama das Estatais para obter outras informações sobre as Empresas Estatais Federais:

https://panoramadasestatais.gestao.gov.br/";Empresas Estatais,Governo Federal;1;0;288;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Painel Estatístico Pessoal – PEP;"Com o objetivo de melhorar a gestão dos recursos públicos, reduzir o tempo para o acesso às informações e disponibilizar os dados de forma moderna, simples e transparente, a Secretaria de Gestão de Pessoas do [Ministério do Planejamento](http://www.planejamento.gov.br/) oferece o [Painel Estatístico Pessoal – PEP](https://pep.planejamento.gov.br), que concentra as informações estatísticas de pessoal do Poder Executivo Federal a partir de janeiro de 2017. 

A iniciativa apoia os gestores públicos, cidadãos e imprensa na realização de análise de dados de Despesas de Pessoal, Servidores, Remunerações, Ingressos por Concurso ou Processo Seletivo, Cargos e Funções e Aposentadorias.

O [PEP](https://www.gov.br/economia/pt-br/assuntos/planejamento/servidores/painel-estatistico-de-pessoal) substitui o [Boletim Estatístico de Pessoal](https://www.gov.br/economia/pt-br/assuntos/planejamento/gestao-publica/arquivos-e-publicacoes/bep) e seus dados são atualizados mensalmente.

Fonte: [PEP](https://www.gov.br/economia/pt-br/assuntos/planejamento/servidores/painel-estatistico-de-pessoal)";Aposentadorias,Cargos,Função,Remuneração,Servidores;1;0;275;Compras/Contratos/Licitações/Orçamento;despesa
Ministério da Gestão e da Inovação em Serviços Públicos;Servidores Públicos Afastados;"Afastamentos e Licenças

O servidor público federal dispõe de modalidades de afastamentos e de licenças que estão previstas por legislação específica e relacionadas pela necessidade do servidor e da administração pública.
Em relação às modalidades e às suas especificidades, seguem os diferentes tipos de afastamentos e licenças previstos pela legislação brasileira.

Afastamento para Justiça Eleitoral
Afastamento para Mandato Eletivo
Afastamento para ser cedido para ter exercício em outro órgão ou entidade dos   Poderes da União, dos Estados, ou do Distrito Federal e dos Municípios
Afastamento para Estudo ou Missão no Exterior
Afastamentos para realização de programas de mestrado e doutorado
Afastamentos para realização de programas de pós-doutorado
Afastamento de servidor para servir em organismo internacional de que o Brasil participe ou com o qual coopere dar-se-á com perda total da remuneração.
 
Licenças
Licença à Maternidade
Licença Incentivada sem Remuneração
Licença para Atividade Política
Licença para Capacitação
Licença para Desempenho de Mandato Classista
Licença para Tratamento de Saúde
Licença para Tratar de Interesses Particulares
Licença Paternidade
Licença por Acidente em Serviço
Licença por Motivo de Afastamento do Cônjuge ou Companheiro
Licença por Motivo de Doença em Pessoa da Família
Licença-Prêmio por Assiduidade

";Afastados,Publicos,Servidores;1;0;270;Compras/Contratos/Licitações/Orçamento;ata,empenh,empenho
Ministério da Gestão e da Inovação em Serviços Públicos;Atendimentos realizados na central de atendimento da conta gov.br;"Dados anonimizados dos atendimentos realizados quanto a dúvidas relacionadas à conta gov.br, tais como, identificador, título, origem, categoria, data de criação, time responsável, situação do encerramento, datas de início e solução do atendimento.
* Importante: O arquivo CSV disponibilizado para download no recurso é atualizado mensalmente.";Atendimento ao cidadão,Decreto 8936-2016,Estratégia de Governo Digital,acesso gov.br,digitalização de serviços,gov.br,serviços públicos;2;0;212;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Governo Digital - Plataforma de Análise de Dados da Administração Pública - GovData;"Conjunto de dados que disponibiliza a API de acesso ao catálogo das bases de dados que integram a plataforma GovData.

###Conceito

O GovData disponibiliza uma infraestrutura de datalake, que permite a hospedagem e o cruzamento de grandes volumes de dados. Nele é possível compartilhar informações entre órgãos, mantendo o sigilo e confidencialidade de dados.


###Legislação

Decreto 8789

###Veja também

ck.govdata.gov.br

###Outras informações

http://govdata.gov.br";GovData,api,conjuntos de dados,dados,govdata;1;0;203;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Imóveis da União - Pontos Georreferenciados;"Em atendimento à [__Lei nº 12.527, de 2011 - Lei de Acesso à Informação__](http://www.planalto.gov.br/ccivil_03/_ato2011-2014/2011/lei/l12527.htm); ao Decreto nº 8.777, de 2016, que institui a Política de Dados Abertos do Governo Federal; e ao [__Plano de Dados Abertos do Ministério da Gestão e Inovação em Serviços Públicos__](http://www.planejamento.gov.br/servicos/central-de-conteudos/publicacoes/plano-de-dados-abertos-pda), a Secretaria do Patrimônio da União publica, neste espaço, dados sobre os bens imobiliários da União registrados em seus bancos de dados.

A Secretaria do Patrimônio da União possui uma página de [__Transparência Ativa__](https://qlik-publico.paineis.gov.br/extensions/transparencia-ativa/transparencia-ativa.html), que fornece, à sociedade, todas as informações referente aos imóveis em si e sobre os ocupantes de imóveis da União. A separação visa a resguardar informações pessoais, nos termos do art. 55 do Decreto nº 7.724, de 2012, que regulamenta a Lei de Acesso à Informação.

O cidadão também poderá ter acesso a outras publicações, referente aos imóveis da União, como Depreciação, Arrecadação e Repasse aos municípios, podendo efetuar a baixa destes dados para consultas.

Veja alguns conceitos importantes:

##Imóveis dominiais:

Trata-se de imóveis da União que não são ocupados pela Administração Pública, mas por terceiros. A ocupação pode ser em caráter precário, como é o caso da Inscrição de Ocupação e da Autorização de Uso, ou por meio de instrumentos de direito real para fins de regularização fundiária, tais como: Aforamentos; Concessões de Direito Real de Uso (CDRU); e Concessão de Uso Especial para fins de Moradia (CUEM). 

##Imóveis de Uso Especial:

São os imóveis que se destinam à execução de serviços administrativos ou à prestação de serviços públicos em geral, tais como prédios de repartições públicas. Um prédio onde esteja instalado um hospital público ou uma escola pública também se enquadram na categoria de bens de uso especial. 

[__Clique aqui__](http://www.planejamento.gov.br/assuntos/gestao/patrimonio-da-uniao/destinacao-de-imoveis/instrumentos-de-destinacao) para saber mais sobre os instrumentos de destinação patrimonial.

*RIP – Registro Imobiliário Patrimonial*
É o registro correspondente à utilização, código numérico gerado de acordo com lei de formação estabelecida pela SPU. Conforme informado na lei de formação, é utilizada tanto para o registro de unidades autônomas – matrícula individualizada em cartório, chamada de “RIP imóvel” – como para as utilizações, chamadas de “RIP utilização”. Sua lei de formação é MMMM SSSSS 500 D, onde

    MMMM é o código do Município de localização do Imóvel.
    SSSSS, sequencial dentro do Município.
    500: valor fixo para imóveis de Uso Especial.
    D: DV módulo 11, ciclo 9.


A *Conceituação dos imóveis* diz respeito ao tipo de bens da União, conforme definido no art. 20 da Constituição Federal, tais como Terrenos de Marinha, Terrenos de Marginal de Rio, Ilhas, Terras Indígenas, entre outros.

[__Clique aqui__](http://www.planejamento.gov.br/assuntos/gestao/patrimonio-da-uniao/bens-da-uniao)
 para saber mais  sobre bens da União.";Aforamento,CDRU,CUEM,Geoespacial,Geoinformação,Inscrição de ocupação,Patrimônio Imobiliário,Patrimônio Imóvel,TAUS,imóveis;1;0;195;Compras/Contratos/Licitações/Orçamento;ata
Ministério da Gestão e da Inovação em Serviços Públicos;Dados de Pessoal do Executivo Federal – Boletim Estatístico de Pessoas - BEP;O BEP é uma publicação com dados sobre a despesa de pessoal da União, o qual foi publicado até janeiro de 2017.  Foi substituído pelo Painel Estatístico de Pessoal-PEP em março com dados à partir de janeiro de 2017, que contém informações estatísticas de pessoal do Poder Executivo Federal.;Governo Federal;1;0;193;Compras/Contratos/Licitações/Orçamento;despesa
Ministério da Gestão e da Inovação em Serviços Públicos;Gestão de Pessoas (Executivo Federal) - Auxílio-Funeral;"Contempla dados de pagamento do Auxílio Funeral à família ou terceiro que tenha custeado o funeral de servidor falecido em atividade ou aposentado do Poder Executivo Federal Civil. Arquivo em formato CSV.
Conceito
O auxílio funeral é um benefício concedido em razão de falecimento do servidor. É concedido à família ou a terceiro que tenha custeado o funeral de servidor falecido em atividade ou aposentado.
Caso seja custeado por familiares (cônjuge, companheiro(a), pais, filhos), o valor será equivalente a um (01) mês da remuneração ou provento.
Caso custeado por terceiros, será indenizado o valor custeado, devidamente comprovado, até o limite do valor da última remuneração ou provento do servidor falecido.";Poder Executivo Federal,auxilio,auxilio funeral;28;0;168;Compras/Contratos/Licitações/Orçamento;pagamento
